season,game_id,week,is_postseason,neutral_site,conf_tier,canonical_home,canonical_away,home_conf,away_conf,home_score,away_score,actual_margin,actual_total,posted_spread,posted_total,sp_diff,elo_diff_scaled,rating_diff_blend,ppa_diff,success_rate_diff,expl_diff,rush_rate_diff,third_down_diff,scheme_adj,sp_st_diff,turnover_margin_diff,returning_pct_diff,talent_diff,portal_index_diff,effective_hfa,home_sp,away_sp,home_elo,away_elo
2013,332500158,2,0,0,0,Nebraska,Southern Miss,Big Ten,Conference USA,56,13,43,69,-29,60,38.900000000000006,32.86196660416098,37.80217574621109,0.12,0,0,0.19853202170275347,0.09638373280470952,0.14341919780944168,1.9,8,NA,NA,NA,4,20.3,-18.6,1649,956
2013,332500077,2,0,0,1,Northwestern,Syracuse,Big Ten,ACC,48,27,21,75,-12,54.5,1.4000000000000004,6.828460593072412,2.386992835104075,0.13,0,0,-0.006940546836655903,0.011376361600325735,-0.23663119876195016,2.6,1,NA,NA,NA,2.5,7.2,5.8,1570,1426
2013,332500084,2,0,0,0,Indiana,Navy,Big Ten,FBS Independents,35,41,-6,76,-7.5,67,3.5,-4.125528274981249,2.1135403136397724,-0.04999999999999999,0,0,-0.34794217305028274,-0.044102948525737096,0.18196441274476777,0.6,-15,NA,NA,NA,2.5,-4.6,-8.1,1450,1537
2013,332502306,2,0,0,0,Kansas State,Louisiana,Big 12,Sun Belt,48,27,21,75,-12,60,22.7,21.149259892432607,22.41804725316956,-0.010000000000000009,0,0,-0.01795864996908869,-0.012345679012345678,0.10586023711436088,-1.0000000000000002,-1,NA,NA,NA,3.5,22.7,0,1863,1417
2013,332500245,2,0,0,0,Texas A&M,Sam Houston,SEC,Southland,65,28,37,93,-45,NA,0,0,0,0.39,0,0,0,0,-0.7096,NA,NA,NA,NA,NA,4.5,28.8,NA,1898,NA
2013,332500201,2,0,0,1,Oklahoma,West Virginia,Big 12,Big 12,16,7,9,23,-21.5,53.5,20.4,24.04187167144245,21.062158485716807,-6.938893903907228e-18,0,0,0.11418144645320866,0.07595287595287592,0.012949880975358652,3.9,13,NA,48.380000000000024,NA,4,28.5,8.1,1934,1427
2013,332500202,2,0,0,0,Tulsa,Colorado State,Conference USA,Mountain West,30,27,3,57,-12,55,12.299999999999999,-15.221776738723916,7.296040592959287,-0.09000000000000001,0,0,-0.013686839601382172,-0.08217118804782719,-0.1632260003004657,-1.5,-12,NA,NA,NA,3,2.6,-9.7,1267,1588
2013,332500252,2,0,0,0,BYU,Texas,FBS Independents,Big 12,40,21,19,61,6,56.5,-7.700000000000001,1.3277562264307468,-6.0585897770125925,0.049999999999999996,0,0,0.026515487369632496,-0.02878202878202879,0.28383422222819293,-0.2,-2,NA,NA,NA,3.5,10.9,18.6,1733,1705
2013,332500195,2,0,0,0,Ohio,North Texas,Mid-American,Conference USA,27,21,6,48,-6.5,58.5,6.4,-20.24828245306889,1.5548577358056566,0.08,0,0,-0.05643024550197562,-0.07876263816857876,-0.3598332734663684,1.2,-13,NA,NA,NA,3,-8,-14.4,1230,1657
2013,332500002,2,0,0,0,Auburn,Arkansas State,SEC,Sun Belt,38,9,29,47,-7.5,60,3.5999999999999996,17.782449461126074,6.178627174750195,0.08,0,0,0.10753047618452538,0.021941672639065046,-0.05098204857444555,2.9,-6,NA,NA,NA,4,4.8,1.2,1844,1469
